change_in_market_value,position,foot,height_in_cm,age,minutes_played,goals,assists,penalty_attempts,yellow_cards,shots,shots_on_target_pct,goals_per_shot,passes,completed_passes_pct,assisted_shots,goal_creating_action,tackles_won_pct,tackles_interceptions,clearances,mistakes_leading_to_opp_shot,dribbles_success,ball_control_failed_attempt,ball_control_lost_after_tackle,fouls,fouled,offside,penalties_won,aerial_success_pct
-500000,Defender,Left,181,31,2457,1,1,0,2,18,0.277777777777778,0.0555555555555556,1410,0.7588652482269503,25,1,0.7407407407407407,81,71,0,4,15,6,31,13,3,0,0.4222222222222222
0,Defender,Left,184,30,1954,0,6,0,5,15,0.0666666666666667,0,1203,0.8071487946799667,24,9,0.7428571428571429,64,27,1,1,9,8,33,12,0,0,0.4782608695652174
0,Midfield,Left,185,30,1879,0,0,0,6,11,0.272727272727273,0,1429,0.9209237228831351,18,2,0.6666666666666666,69,15,0,68,25,34,48,28,0,0,0.391304347826087
-2000000,Midfield,Right,181,32,1087,1,1,0,3,12,0.166666666666667,0.0833333333333333,714,0.8263305322128851,12,2,0.7241379310344828,48,15,0,3,14,8,15,11,0,0,0.5
-700000,Attack,Right,180,32,1437,5,0,4,2,22,0.318181818181818,0.227272727272727,228,0.6885964912280702,5,1,0,2,14,0,6,32,35,30,34,12,0,0.42105263157894735
-1000000,Midfield,Right,183,31,261,0,1,0,1,4,0,0,137,0.8540145985401459,3,2,0.875,12,4,0,3,3,6,4,3,0,0,0
-400000,Defender,Left,183,29,848,0,0,0,0,4,0.25,0,424,0.6462264150943396,11,0,0.46153846153846156,18,27,0,1,3,3,7,1,0,0,0.5625
-2000000,Defender,Right,183,32,775,0,1,0,0,10,0.3,0,395,0.7544303797468355,6,1,0.7777777777777778,22,15,0,4,7,4,5,4,3,0,0.25
-1000000,Attack,Right,174,32,2071,9,1,1,0,51,0.333333333333333,0.176470588235294,807,0.8240396530359355,34,7,0.8,48,2,0,45,40,64,17,35,7,0,0.15789473684210525
-3000000,Midfield,Right,174,33,541,0,0,0,0,0,0,0,444,0.9054054054054054,3,2,0.8666666666666667,23,20,0,0,1,2,9,1,0,0,0
-500000,Defender,Right,185,32,3060,1,0,0,3,17,0.294117647058824,0.0588235294117647,2250,0.8826666666666667,1,1,0.6666666666666666,23,154,3,7,7,2,13,13,2,0,0.5294117647058824
3000000,Attack,Right,167,29,2750,6,8,3,2,95,0.347368421052632,0.0631578947368421,1533,0.7299412915851272,95,20,0.6428571428571429,36,7,0,105,67,52,19,97,17,2,0.07692307692307693
-2000000,Defender,Right,176,32,3289,0,1,0,9,6,0.166666666666667,0,1612,0.7146401985111662,17,1,0.6979166666666666,157,152,0,7,24,13,33,34,1,0,0.504424778761062
-1000000,Midfield,Right,180,30,1036,0,0,0,4,1,1,0,331,0.8126888217522659,0,1,0.7931034482758621,74,21,0,4,9,3,33,1,0,0,0.36363636363636365
0,Attack,Right,170,22,1688,1,2,0,3,25,0.32,0.04,523,0.655831739961759,26,5,0.6666666666666666,26,10,0,22,20,23,15,39,6,2,0.3191489361702128
-1000000,Midfield,Left,167,30,2264,2,8,1,7,32,0.25,0.0625,1567,0.8366305041480536,45,11,0.6585365853658537,63,29,1,22,34,38,31,39,2,0,0.4857142857142857
0,Defender,Right,184,35,641,0,0,0,0,0,0,0,471,0.8365180467091295,3,1,0.5882352941176471,30,21,0,1,4,4,4,15,0,1,0.5882352941176471
-1000000,Attack,Right,188,32,1452,6,4,2,4,36,0.527777777777778,0.166666666666667,372,0.7043010752688172,14,8,0.8,14,23,0,9,42,27,41,24,7,0,0.43103448275862066
-10000000,Defender,Left,182,31,1659,1,2,0,4,5,0.4,0.2,1178,0.8115449915110357,19,5,0.6265060240963856,118,34,0,26,18,13,16,27,1,0,0.6296296296296297
-2000000,Attack,Left,180,30,1635,3,1,1,1,41,0.292682926829268,0.0731707317073171,493,0.6369168356997972,25,10,0.6666666666666666,19,8,0,27,33,41,20,25,26,2,0.28125
-200000,Defender,Left,188,33,2594,1,1,0,10,11,0.181818181818182,0.0909090909090909,1170,0.7034188034188035,12,2,0.7391304347826086,86,132,1,4,18,10,33,18,1,0,0.6708860759493671
-50000,Attack,Right,170,37,243,0,1,0,0,2,0.5,0,124,0.6048387096774194,4,1,0,4,2,0,9,5,1,4,6,0,0,0
